City,Magnitude,MMI,CDI,Latitude,Longitude,Time,Year,Month,Day
"Near San Juan Bautista, California",5.5,,,36.87,-121.57,00:00:00,1800,10,11
"Gulf of Santa Catalina, California",6.3,,,32.9,-117.8,21:30:00,1800,11,22
"San Diego area, California",5.5,,,32.8,-117.1,00:00:00,1803,05,25
"Near Santa Barbara, California",5.5,,,34.4,-119.7,08:00:00,1806,03,25
"Near San Francisco, California",5.5,,,37.8,-122.6,00:00:00,1808,06,21
"Northwest of San Bernardino, California",7.5,,,34.37,-117.65,15:00:00,1812,12,08
"Santa Barbara Channel, California",7.1,,,34.2,-119.9,19:00:00,1812,12,21
"Northwest of Santa Barbara, California",6.3,,,34.55,-119.85,00:00:00,1821,01,01
"Channel Islands region, California",6.0,,,34.0,-119.0,04:00:00,1827,09,24
"Near San Juan Bautista, California",6.0,,,35.35,-120.65,00:00:00,1830,01,01
"Near San Juan Bautista, California",6.4,,,36.9,-121.5,15:30:00,1836,06,10
"The 1838 San Andreas Fault Earthquake, California",7.4,,,37.3,-122.15,20:00:00,1838,06,25
"Near San Juan Bautista, California",6.5,,,36.85,-121.5,00:00:00,1840,01,18
"Near San Juan Bautista, California",6.0,,,36.825,-121.5,22:07:00,1841,07,03
"Near San Francisco, California",5.0,,,37.8,-122.4,16:10:00,1851,05,15
"Baja California, Mexico",6.5,,,32.5,-115.0,20:00:00,1852,11,29
"Near San Simeon, California",5.5,,,35.6,-121.1,21:00:00,1853,02,01
"Southeast of Mission Soledad, California",6.3,,,36.25,-120.8,00:00:00,1853,09,02
"Near Santa Barbara, California",6.0,,,34.45,-119.7,11:25:00,1854,05,31
"Near San Gabriel, California",6.0,,,34.1,-118.1,04:15:00,1855,07,11
"North of San Francisco, California",5.5,,,38.1,-122.5,11:00:00,1855,08,27
"Offshore San Mateo County, California",5.7,,,37.3,-122.5,18:15:00,1856,01,02
"San Mateo County, California",5.9,,,37.5,-122.3,13:25:00,1856,02,15
"Near Santa Ysabel, California",5.5,,,33.1,-116.7,07:30:00,1856,09,21
The 1857 Fort Tejon Earthquake,7.93,,,35.7,-120.3,16:24:00,1857,01,09
"West of Coalinga, California",5.6,,,36.29,-120.85,15:00:00,1857,01,09
"West of Coalinga, California",6.1,,,36.1,-120.65,14:00:00,1857,01,09
"Southeast of Fort Tejon, California",5.6,,,34.76,-118.71,06:40:00,1857,01,10
"Near Palmdale, California",6.3,,,34.52,-118.04,16:53:00,1857,01,16
California-Nevada Border east of Truckee,6.3,,,39.3,-120.0,03:05:00,1857,09,03
"North of San Jose, California",6.2,,,37.5,-121.8,08:35:00,1858,11,26
"Near San Bernardino, California",6.0,,,34.2,-117.4,10:00:00,1858,12,16
"East of Reno, Nevada",6.5,,,39.5,-119.5,19:00:00,1860,03,15
"Northeast of King City, California",6.0,,,36.35,-120.95,03:30:00,1860,04,17
"Near San Ramon, California",5.8,,,37.75,-121.95,00:11:00,1861,07,04
"Greater San Diego area, California",6.2,,,32.7,-117.2,20:00:00,1862,05,27
"Near Redwood City, California",4.8,,,37.5,-122.2,22:38:00,1863,12,19
"Santa Clara County, California",6.1,,,37.2,-121.6,13:47:00,1864,02,26
"Alameda County, California",6.0,,,37.5528,-121.855,16:49:00,1864,03,05
